,id,latitude,longitude,room_type,price,host_class,distance,reviews
934,28400430,44.49876,11.34236,Entire home/apt,4.867534450455582,multi,0.5424606045110698,2.70805020110221
935,28408951,44.48843,11.32133,Private room,4.553876891600541,single,1.827742282776307,2.0794415416798357
936,28409416,44.49619226710056,11.339174262670673,Entire home/apt,4.574710978503383,single,0.3968379905507461,1.9459101490553132
937,28449481,44.50777,11.34577,Private room,4.477336814478207,multi,1.5569685471201868,0.0
938,28511884,44.49637,11.33838,Entire home/apt,4.174387269895637,multi,0.4586611372536532,2.772588722239781
939,28529327,44.50256,11.33722,Private room,5.2832037287379885,multi,1.0665037597094496,0.6931471805599453
940,28529867,44.50133,11.33677,Entire home/apt,5.958424693029782,multi,0.962928985219199,0.0
941,28537835,44.51188,11.35526,Entire home/apt,4.770684624465665,single,2.223236968188175,0.0
942,28562550,44.49726,11.33327,Entire home/apt,4.31748811353631,multi,0.8592634779845181,1.3862943611198906
943,28584715,44.50029,11.33855,Entire home/apt,4.574710978503383,multi,0.793406116120922,2.70805020110221
944,28603876,44.49629,11.33986,Private room,3.7376696182833684,single,0.36457148488045116,2.5649493574615367
945,28608930,44.48516,11.35475,Entire home/apt,4.110873864173311,multi,1.3479223635490771,2.302585092994046
946,28610933,44.49665,11.3415,Entire home/apt,4.624972813284271,single,0.3280571478564552,2.3978952727983707
947,28660507,44.48848,11.35312,Entire home/apt,4.605170185988092,single,1.0053659571525742,0.6931471805599453
948,28675238,44.49876,11.33583,Entire home/apt,4.382026634673881,multi,0.7854220311484509,2.3978952727983707
949,28681326,44.5478,11.3548,Entire home/apt,4.605170185988092,multi,6.062692717197188,0.0
950,28686775,44.491749,11.354616,Private room,4.248495242049359,single,0.954373578129424,1.9459101490553132
951,28708310,44.49516,11.33778,Entire home/apt,5.19295685089021,single,0.43816748380771375,0.0
952,28747438,44.48844,11.3659,Entire home/apt,4.700480365792417,multi,1.9199512551647866,0.0
953,28774793,44.48348,11.31472,Private room,3.367295829986474,single,2.5300935656601644,0.0
954,28776088,44.49995,11.34629,Entire home/apt,4.406719247264253,single,0.7214349604297496,2.833213344056216
955,28806348,44.50029,11.33855,Entire home/apt,4.553876891600541,multi,0.793406116120922,2.8903717578961645
956,28821172,44.48164,11.34725,Entire home/apt,4.5217885770490405,single,1.4037116724242367,0.0
957,28830737,44.4965,11.33711,Entire home/apt,4.787491742782046,single,0.5504093208702867,2.5649493574615367
958,28875644,44.48651,11.34266,Private room,4.248495242049359,multi,0.8216574220405094,2.0794415416798357
959,28880644,44.49876,11.33583,Entire home/apt,4.0943445622221,multi,0.7854220311484509,0.6931471805599453
960,28882827,44.49876,11.33583,Entire home/apt,4.0943445622221,multi,0.7854220311484509,2.0794415416798357
